n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1146,Iteracao 1146,0.002708,0.0025,0.0025
1147,Iteracao 1147,0.007348,0.0068,0.0068
1148,Iteracao 1148,0.00724,0.0067,0.0067
1149,Iteracao 1149,0.00929,0.0086,0.0087
1150,Iteracao 1150,0.006646,0.0061,0.0061
1151,Iteracao 1151,0.015095,0.014,0.0141
1152,Iteracao 1152,0.00218,0.002,0.002
1153,Iteracao 1153,0.002611,0.0024,0.0024
1154,Iteracao 1154,0.001813,0.0017,0.0017
1155,Iteracao 1155,0.007489,0.0069,0.007
1156,Iteracao 1156,0.008049,0.0075,0.0075
1157,Iteracao 1157,0.002827,0.0026,0.0026
1158,Iteracao 1158,0.008406,0.0078,0.0078
1159,Iteracao 1159,0.007391,0.0069,0.0069
1160,Iteracao 1160,0.005061,0.0047,0.0047
1161,Iteracao 1161,0.001932,0.0018,0.0018
1162,Iteracao 1162,0.01489,0.0139,0.0139
1163,Iteracao 1163,0.002061,0.0019,0.0018
1164,Iteracao 1164,0.002071,0.0019,0.0019
1165,Iteracao 1165,0.003021,0.0027,0.0028
1166,Iteracao 1166,0.002201,0.002,0.002
1167,Iteracao 1167,0.005708,0.0053,0.0053
1168,Iteracao 1168,0.020349,0.0189,0.019
1169,Iteracao 1169,0.00751,0.0069,0.007
1170,Iteracao 1170,0.003269,0.003,0.003
1171,Iteracao 1171,0.008859,0.0083,0.0083
1172,Iteracao 1172,0.001889,0.0017,0.0017
1173,Iteracao 1173,0.00301,0.0028,0.0028
1174,Iteracao 1174,0.008621,0.008,0.008
1175,Iteracao 1175,0.008459,0.0079,0.0078
1176,Iteracao 1176,0.020145,0.0187,0.0188
1177,Iteracao 1177,0.007305,0.0068,0.0068
1178,Iteracao 1178,0.019692,0.0183,0.0183
1179,Iteracao 1179,0.009204,0.0086,0.0086
1180,Iteracao 1180,0.001867,0.0017,0.0017
1181,Iteracao 1181,0.020199,0.0188,0.0188
1182,Iteracao 1182,0.00192,0.0018,0.0017
1183,Iteracao 1183,0.019012,0.0177,0.0177
1184,Iteracao 1184,0.004046,0.0037,0.0038
1185,Iteracao 1185,0.005017,0.0046,0.0046
1186,Iteracao 1186,0.002881,0.0027,0.0026
1187,Iteracao 1187,0.003777,0.0035,0.0034
1188,Iteracao 1188,0.008135,0.0075,0.0075
1189,Iteracao 1189,0.002018,0.0018,0.0018
1190,Iteracao 1190,0.001985,0.0018,0.0018
1191,Iteracao 1191,0.00368,0.0034,0.0034
1192,Iteracao 1192,0.003356,0.0032,0.0031
1193,Iteracao 1193,0.00806,0.0075,0.0075
1194,Iteracao 1194,0.001996,0.0019,0.0018
1195,Iteracao 1195,0.006949,0.0064,0.0064
1196,Iteracao 1196,0.009808,0.0091,0.0091
1197,Iteracao 1197,0.019681,0.0183,0.0183
1198,Iteracao 1198,0.007165,0.0067,0.0067
1199,Iteracao 1199,0.001823,0.0017,0.0016
1200,Iteracao 1200,0.019433,0.0181,0.0181
1201,Iteracao 1201,0.008805,0.0082,0.0082
1202,Iteracao 1202,0.025368,0.0236,0.0236
1203,Iteracao 1203,0.007111,0.0066,0.0066
1204,Iteracao 1204,0.009301,0.0086,0.0086
1205,Iteracao 1205,0.00424,0.0039,0.0039
1206,Iteracao 1206,0.001813,0.0017,0.0016
1207,Iteracao 1207,0.002341,0.0022,0.0021
1208,Iteracao 1208,0.011869,0.0111,0.0111
1209,Iteracao 1209,0.002115,0.002,0.0019
1210,Iteracao 1210,0.009701,0.009,0.009
1211,Iteracao 1211,0.007769,0.0072,0.0072
1212,Iteracao 1212,0.008093,0.0075,0.0075
1213,Iteracao 1213,0.007747,0.0072,0.0072
1214,Iteracao 1214,0.009496,0.0088,0.0088
1215,Iteracao 1215,0.008492,0.0079,0.0079
1216,Iteracao 1216,0.00737,0.0069,0.0069
1217,Iteracao 1217,0.006323,0.0058,0.0058
1218,Iteracao 1218,0.002287,0.0021,0.0021
1219,Iteracao 1219,0.019746,0.0184,0.0184
1220,Iteracao 1220,0.003701,0.0034,0.0034
1221,Iteracao 1221,0.007963,0.0074,0.0074
1222,Iteracao 1222,0.007456,0.0069,0.0069
1223,Iteracao 1223,0.010531,0.0098,0.0098
1224,Iteracao 1224,0.002072,0.0019,0.0019
1225,Iteracao 1225,0.002654,0.0024,0.0025
1226,Iteracao 1226,0.003614,0.0034,0.0033
1227,Iteracao 1227,0.022011,0.0205,0.0063
1228,Iteracao 1228,0.007779,0.0073,0.0073
1229,Iteracao 1229,0.021504,0.0201,0.0201
1230,Iteracao 1230,0.003906,0.0036,0.0036
1231,Iteracao 1231,0.001942,0.0018,0.0018
1232,Iteracao 1232,0.002223,0.002,0.002
1233,Iteracao 1233,0.023242,0.0208,0.0203
1234,Iteracao 1234,0.002148,0.002,0.0019
1235,Iteracao 1235,0.002482,0.0023,0.0023
1236,Iteracao 1236,0.001824,0.0017,0.0016
1237,Iteracao 1237,0.013239,0.0123,0.0123
1238,Iteracao 1238,0.008265,0.0077,0.0077
1239,Iteracao 1239,0.002601,0.0024,0.0024
1240,Iteracao 1240,0.001974,0.0018,0.0018
1241,Iteracao 1241,0.014772,0.0138,0.0138
1242,Iteracao 1242,0.001748,0.0016,0.0016
1243,Iteracao 1243,0.008114,0.0076,0.0076
1244,Iteracao 1244,0.002913,0.0026,0.0027
1245,Iteracao 1245,0.002007,0.0018,0.0018
1246,Iteracao 1246,0.005762,0.0054,0.0053
1247,Iteracao 1247,0.003129,0.0029,0.0029
1248,Iteracao 1248,0.008211,0.0076,0.0077
1249,Iteracao 1249,0.004554,0.0043,0.0042
1250,Iteracao 1250,0.00191,0.0018,0.0017
1251,Iteracao 1251,0.001953,0.0018,0.0018
1252,Iteracao 1252,0.003248,0.003,0.003
1253,Iteracao 1253,0.001823,0.0017,0.0017
1254,Iteracao 1254,0.002083,0.0019,0.0019
1255,Iteracao 1255,0.001716,0.0016,0.0015
1256,Iteracao 1256,0.008686,0.0081,0.0081
1257,Iteracao 1257,0.002169,0.0019,0.002
1258,Iteracao 1258,0.002816,0.0026,0.0026
1259,Iteracao 1259,0.005018,0.0046,0.0047
1260,Iteracao 1260,0.001856,0.0017,0.0017
1261,Iteracao 1261,0.010844,0.01,0.0101
1262,Iteracao 1262,0.004176,0.0039,0.0039
1263,Iteracao 1263,0.002482,0.0023,0.0022
1264,Iteracao 1264,0.007283,0.0068,0.0068
1265,Iteracao 1265,0.003399,0.0031,0.0031
1266,Iteracao 1266,0.001963,0.0018,0.0017
1267,Iteracao 1267,0.002319,0.0021,0.0021
1268,Iteracao 1268,0.006733,0.0062,0.0062
1269,Iteracao 1269,0.003011,0.0028,0.0027
1270,Iteracao 1270,0.009172,0.0086,0.0086
1271,Iteracao 1271,0.025206,0.0235,0.0235
1272,Iteracao 1272,0.016196,0.015,0.0149
1273,Iteracao 1273,0.002147,0.002,0.0019
1274,Iteracao 1274,0.018538,0.0173,0.0172
1275,Iteracao 1275,0.001867,0.0017,0.0017
1276,Iteracao 1276,0.002309,0.0022,0.0021
1277,Iteracao 1277,0.004888,0.0045,0.0045
1278,Iteracao 1278,0.001748,0.0016,0.0016
1279,Iteracao 1279,0.001909,0.0018,0.0017
1280,Iteracao 1280,0.011082,0.0103,0.0103
1281,Iteracao 1281,0.001921,0.0018,0.0017
1282,Iteracao 1282,0.007283,0.0068,0.0068
1283,Iteracao 1283,0.002072,0.0019,0.0019
1284,Iteracao 1284,0.001856,0.0017,0.0017
1285,Iteracao 1285,0.012818,0.0113,0.0111
1286,Iteracao 1286,0.003496,0.0032,0.0032
1287,Iteracao 1287,0.003302,0.003,0.003
1288,Iteracao 1288,0.004024,0.0037,0.0037
1289,Iteracao 1289,0.002654,0.0025,0.0024
1290,Iteracao 1290,0.015667,0.0146,0.0146
1291,Iteracao 1291,0.001942,0.0017,0.0018
1292,Iteracao 1292,0.001942,0.0018,0.0018
1293,Iteracao 1293,0.001996,0.0018,0.0018
1294,Iteracao 1294,0.001931,0.0017,0.0018
1295,Iteracao 1295,0.003161,0.0029,0.0029
1296,Iteracao 1296,0.003313,0.0031,0.003
1297,Iteracao 1297,0.006484,0.006,0.006
1298,Iteracao 1298,0.007294,0.0068,0.0068
1299,Iteracao 1299,0.018872,0.0176,0.0176
1300,Iteracao 1300,0.002277,0.0021,0.0021
1301,Iteracao 1301,0.015516,0.0144,0.0144
1302,Iteracao 1302,0.002687,0.0025,0.0024
1303,Iteracao 1303,0.02445,0.0227,0.0227
1304,Iteracao 1304,0.007391,0.0069,0.0068
1305,Iteracao 1305,0.002784,0.0026,0.0025
1306,Iteracao 1306,0.004931,0.0046,0.0046
1307,Iteracao 1307,0.022012,0.0204,0.0205
1308,Iteracao 1308,0.002039,0.0019,0.0018
1309,Iteracao 1309,0.008794,0.0082,0.0082
1310,Iteracao 1310,0.001705,0.0016,0.0015
1311,Iteracao 1311,0.001845,0.0017,0.0017
1312,Iteracao 1312,0.003011,0.0028,0.0028
1313,Iteracao 1313,0.001888,0.0017,0.0017
1314,Iteracao 1314,0.014523,0.0135,0.0136
1315,Iteracao 1315,0.001867,0.0017,0.0016
1316,Iteracao 1316,0.00259,0.0024,0.0024
1317,Iteracao 1317,0.006398,0.0059,0.0059
1318,Iteracao 1318,0.002471,0.0023,0.0022
1319,Iteracao 1319,0.001932,0.0017,0.0018
1320,Iteracao 1320,0.020167,0.0187,0.0187
1321,Iteracao 1321,0.002039,0.0019,0.0018
1322,Iteracao 1322,0.004381,0.0041,0.004
1323,Iteracao 1323,0.007208,0.0068,0.0067
1324,Iteracao 1324,0.0097,0.009,0.0091
1325,Iteracao 1325,0.003216,0.0029,0.003
1326,Iteracao 1326,0.004715,0.0044,0.0043
1327,Iteracao 1327,0.008351,0.0078,0.0078
1328,Iteracao 1328,0.014814,0.0138,0.0138
1329,Iteracao 1329,0.003334,0.003,0.0031
1330,Iteracao 1330,0.002051,0.0019,0.0018
1331,Iteracao 1331,0.007186,0.0067,0.0067
1332,Iteracao 1332,0.00329,0.003,0.003
1333,Iteracao 1333,0.001985,0.0018,0.0018
1334,Iteracao 1334,0.00273,0.0025,0.0025
1335,Iteracao 1335,0.004672,0.0043,0.0043
1336,Iteracao 1336,0.001835,0.0017,0.0016
1337,Iteracao 1337,0.003788,0.0035,0.0035
1338,Iteracao 1338,0.001737,0.0016,0.0016
1339,Iteracao 1339,0.002666,0.0025,0.0024
1340,Iteracao 1340,0.002083,0.0019,0.0019
1341,Iteracao 1341,0.001867,0.0017,0.0017
1342,Iteracao 1342,0.003593,0.0034,0.0033
1343,Iteracao 1343,0.00164,0.0015,0.0014
1344,Iteracao 1344,0.001812,0.0016,0.0017
1345,Iteracao 1345,0.010725,0.01,0.0099
1346,Iteracao 1346,0.001856,0.0017,0.0017
1347,Iteracao 1347,0.002557,0.0024,0.0023
1348,Iteracao 1348,0.009334,0.0087,0.0087
1349,Iteracao 1349,0.00287,0.0027,0.0026
1350,Iteracao 1350,0.001888,0.0017,0.0017
1351,Iteracao 1351,0.002104,0.002,0.0019
1352,Iteracao 1352,0.002428,0.0023,0.0022
1353,Iteracao 1353,0.001824,0.0017,0.0016
1354,Iteracao 1354,0.009171,0.0085,0.0086
1355,Iteracao 1355,0.002265,0.0021,0.002
1356,Iteracao 1356,0.002643,0.0024,0.0024
1357,Iteracao 1357,0.001824,0.0017,0.0016
1358,Iteracao 1358,0.003042,0.0028,0.0027
1359,Iteracao 1359,0.001705,0.0015,0.0015
1360,Iteracao 1360,0.002428,0.0023,0.0022
1361,Iteracao 1361,0.002093,0.002,0.0019
1362,Iteracao 1362,0.001931,0.0018,0.0017
1363,Iteracao 1363,0.007164,0.0067,0.0067
1364,Iteracao 1364,0.007089,0.0066,0.0066
1365,Iteracao 1365,0.002223,0.0021,0.002
1366,Iteracao 1366,0.007261,0.0067,0.0068
