n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
681,Iteracao 681,0.070819,0.0667,0.0682
682,Iteracao 682,0.005131,0.0048,0.0047
683,Iteracao 683,0.084101,0.1311,0.1344
684,Iteracao 684,0.008336,0.0059,0.0047
685,Iteracao 685,0.004259,0.004,0.0038
686,Iteracao 686,0.006464,0.006,0.0059
687,Iteracao 687,0.003839,0.0035,0.0035
688,Iteracao 688,0.003829,0.0035,0.0034
689,Iteracao 689,0.009917,0.0093,0.0092
690,Iteracao 690,0.003786,0.0035,0.0034
691,Iteracao 691,0.004722,0.0045,0.0046
692,Iteracao 692,0.00526,0.0048,0.0047
693,Iteracao 693,0.006905,0.0065,0.0065
694,Iteracao 694,0.004625,0.0043,0.0042
695,Iteracao 695,0.005744,0.0053,0.1767
696,Iteracao 696,0.060755,0.0584,0.0596
697,Iteracao 697,0.00426,0.0038,0.0036
698,Iteracao 698,0.003948,0.0038,0.0039
699,Iteracao 699,0.004195,0.0039,0.0038
700,Iteracao 700,0.008153,0.0076,0.0076
701,Iteracao 701,0.003958,0.0036,0.0036
702,Iteracao 702,0.013445,0.0126,0.0126
703,Iteracao 703,0.005055,0.0046,0.0041
704,Iteracao 704,0.003291,0.0031,0.0032
705,Iteracao 705,0.005195,0.0049,0.0049
706,Iteracao 706,0.008659,0.008,0.008
707,Iteracao 707,0.003377,0.0031,0.003
708,Iteracao 708,0.004066,0.0036,0.0036
709,Iteracao 709,0.05128,0.0497,0.0506
710,Iteracao 710,0.075971,0.0706,0.0057
711,Iteracao 711,0.004658,0.0043,0.0043
712,Iteracao 712,0.003625,0.0034,0.0034
713,Iteracao 713,0.003872,0.0036,0.0031
714,Iteracao 714,0.003614,0.0035,0.0035
715,Iteracao 715,0.002506,0.0023,0.0023
716,Iteracao 716,0.006282,0.0059,0.0059
717,Iteracao 717,0.002571,0.0024,0.0025
718,Iteracao 718,0.004496,0.0042,0.0042
719,Iteracao 719,0.0044,0.0041,0.0039
720,Iteracao 720,0.005238,0.0048,0.0047
721,Iteracao 721,0.01479,0.0137,0.0136
722,Iteracao 722,0.010552,0.0099,0.0096
723,Iteracao 723,0.002485,0.0023,0.0023
724,Iteracao 724,0.006852,0.0064,0.0063
725,Iteracao 725,0.00243,0.0023,0.0023
726,Iteracao 726,0.082285,0.0773,0.0779
727,Iteracao 727,0.414003,0.3894,0.3915
728,Iteracao 728,0.264672,0.2462,0.247
729,Iteracao 729,0.122385,0.1147,0.1151
730,Iteracao 730,0.008971,0.0083,0.0084
731,Iteracao 731,0.010057,0.0094,0.0095
732,Iteracao 732,0.008638,0.0081,0.008
733,Iteracao 733,0.006486,0.0061,0.0065
734,Iteracao 734,0.055986,0.0529,0.0535
735,Iteracao 735,0.119347,0.1118,0.1123
736,Iteracao 736,0.282979,0.2642,0.2643
737,Iteracao 737,0.010552,0.0098,0.0098
738,Iteracao 738,0.007508,0.007,0.007
739,Iteracao 739,0.004937,0.0045,0.0046
740,Iteracao 740,0.002098,0.002,0.0019
741,Iteracao 741,0.015897,0.0149,0.0151
742,Iteracao 742,0.002797,0.0025,0.0025
743,Iteracao 743,0.017576,0.0163,0.0164
744,Iteracao 744,0.005346,0.0049,0.0049
745,Iteracao 745,0.002689,0.0025,0.0024
746,Iteracao 746,0.003926,0.0036,0.0035
747,Iteracao 747,0.002905,0.0028,0.0028
748,Iteracao 748,0.009196,0.0087,0.0087
749,Iteracao 749,0.005163,0.0048,0.0046
750,Iteracao 750,0.001904,0.0018,0.0017
751,Iteracao 751,0.002344,0.0022,0.0021
752,Iteracao 752,0.001968,0.0018,0.0018
753,Iteracao 753,0.009885,0.0092,0.0092
754,Iteracao 754,0.006088,0.0057,0.0056
755,Iteracao 755,0.003162,0.0029,0.0029
756,Iteracao 756,0.004507,0.0042,0.0042
757,Iteracao 757,0.002012,0.0018,0.0019
