rotulo fase id_evento id_estrutura tempo endereco tamanho
L 0 178 0 0.146958209 0 32
L 0 179 0 0.146960489 1 32
L 0 180 0 0.146961390 2 32
L 0 181 0 0.146962986 3 32
L 0 182 0 0.147149818 36 32
L 0 183 0 0.147151900 0 32
L 0 184 0 0.147154325 1 32
L 0 185 0 0.147155309 2 32
L 0 186 0 0.147156418 3 32
L 0 187 0 0.147384666 37 32
L 0 188 0 0.147387671 0 32
L 0 189 0 0.147389753 1 32
L 0 190 0 0.147391038 2 32
L 0 191 0 0.147392396 3 32
L 0 192 0 0.147452048 38 32
L 0 193 0 0.147454068 0 32
L 0 194 0 0.147456845 1 32
L 0 195 0 0.147457954 2 32
L 0 196 0 0.147459840 3 32
L 0 197 0 0.147628932 39 32
L 0 198 0 0.147631254 0 32
L 0 199 0 0.147633606 1 32
L 0 200 0 0.147634870 2 32
L 0 201 0 0.147636486 3 32
L 0 202 0 0.147801621 40 32
L 0 203 0 0.147804480 0 32
L 0 204 0 0.147807195 1 32
L 0 205 0 0.147808117 2 32
L 0 206 0 0.147809672 3 32
L 0 207 0 0.147966703 41 32
L 0 208 0 0.147969159 0 32
L 0 209 0 0.147971532 1 32
L 0 210 0 0.147972433 2 32
L 0 211 0 0.147974174 3 32
L 0 212 0 0.183498518 42 32
L 0 213 0 0.183513449 0 32
L 0 214 0 0.183520091 1 32
L 0 215 0 0.183521718 2 32
L 0 216 0 0.183523479 3 32
L 0 217 0 0.184012241 43 32
L 0 218 0 0.184019225 0 32
L 0 219 0 0.184022882 1 32
L 0 220 0 0.184023867 2 32
L 0 221 0 0.184025628 3 32
L 0 222 0 0.184488641 44 32
L 0 223 0 0.184495884 0 32
L 0 224 0 0.184505292 1 32
L 0 225 0 0.184506991 2 32
L 0 226 0 0.184508628 3 32
L 0 227 0 0.184729633 45 32
L 0 228 0 0.184733281 0 32
L 0 229 0 0.184736607 1 32
L 0 230 0 0.184737612 2 32
L 0 231 0 0.184739591 3 32
L 0 232 0 0.184840990 46 32
L 0 233 0 0.184843311 0 32
L 0 234 0 0.184846088 1 32
L 0 235 0 0.184852057 2 32
L 0 236 0 0.184854388 3 32
L 0 237 0 0.185031646 47 32
L 0 238 0 0.185035086 0 32
L 0 239 0 0.185036951 1 32
L 0 240 0 0.185037738 2 32
L 0 241 0 0.185038940 3 32
L 0 242 0 0.185202427 48 32
L 0 243 0 0.185206085 0 32
L 0 244 0 0.185209297 1 32
L 0 245 0 0.185210395 2 32
L 0 246 0 0.185211432 3 32
L 0 247 0 0.185412604 49 32
