rotulo fase id_evento id_estrutura tempo endereco tamanho
L 0 2 0 0.040348598 0 32
L 0 3 0 0.040358456 0 32
L 0 4 0 0.040365607 1 32
L 0 5 0 0.040366554 2 32
L 0 6 0 0.040367706 3 32
L 0 7 0 0.040560008 1 32
L 0 8 0 0.040562292 0 32
L 0 9 0 0.040566141 1 32
L 0 10 0 0.040566995 2 32
L 0 11 0 0.040568518 3 32
L 0 12 0 0.040682495 2 32
L 0 13 0 0.040684872 0 32
L 0 14 0 0.040687218 1 32
L 0 15 0 0.040688196 2 32
L 0 16 0 0.040690758 3 32
L 0 17 0 0.040910235 3 32
L 0 18 0 0.040912540 0 32
L 0 19 0 0.040914659 1 32
L 0 20 0 0.040915503 2 32
L 0 21 0 0.040916686 3 32
L 0 22 0 0.041923555 4 32
L 0 23 0 0.041929657 0 32
L 0 24 0 0.041934719 1 32
L 0 25 0 0.041936005 2 32
L 0 26 0 0.041937456 3 32
L 0 27 0 0.041989100 5 32
L 0 28 0 0.041990159 0 32
L 0 29 0 0.041992567 1 32
L 0 30 0 0.041993637 2 32
L 0 31 0 0.041994687 3 32
L 0 32 0 0.042429422 6 32
L 0 33 0 0.042432282 0 32
L 0 34 0 0.042434453 1 32
L 0 35 0 0.042435544 2 32
L 0 36 0 0.042436686 3 32
L 0 37 0 0.042565718 7 32
L 0 38 0 0.042567930 0 32
L 0 39 0 0.042569854 1 32
L 0 40 0 0.042570955 2 32
L 0 41 0 0.042572035 3 32
L 0 42 0 0.042902979 8 32
L 0 43 0 0.042905305 0 32
L 0 44 0 0.042907517 1 32
L 0 45 0 0.042908515 2 32
L 0 46 0 0.042910501 3 32
L 0 47 0 0.043106826 9 32
L 0 48 0 0.043109121 0 32
L 0 49 0 0.043111405 1 32
L 0 50 0 0.043112465 2 32
L 0 51 0 0.043113597 3 32
L 0 52 0 0.043308883 10 32
L 0 53 0 0.043311568 0 32
L 0 54 0 0.043313606 1 32
L 0 55 0 0.043314645 2 32
L 0 56 0 0.043316374 3 32
L 0 57 0 0.043513574 11 32
L 0 58 0 0.043515899 0 32
L 0 59 0 0.043518513 1 32
L 0 60 0 0.043519593 2 32
L 0 61 0 0.043520694 3 32
L 0 62 0 0.043717554 12 32
L 0 63 0 0.043719818 0 32
L 0 64 0 0.043721886 1 32
L 0 65 0 0.043723008 2 32
L 0 66 0 0.043724325 3 32
L 0 67 0 0.043922451 13 32
L 0 68 0 0.043924694 0 32
L 0 69 0 0.043926618 1 32
L 0 70 0 0.043927616 2 32
L 0 71 0 0.043929489 3 32
L 0 72 0 0.044132153 14 32
L 0 73 0 0.044134560 0 32
L 0 74 0 0.044136865 1 32
L 0 75 0 0.044137822 2 32
L 0 76 0 0.044139438 3 32
L 0 77 0 0.044347195 15 32
L 0 78 0 0.044349211 0 32
L 0 79 0 0.044351125 1 32
L 0 80 0 0.044352144 2 32
L 0 81 0 0.044353358 3 32
L 0 82 0 0.044439297 16 32
L 0 83 0 0.044441303 0 32
L 0 84 0 0.044442774 1 32
L 0 85 0 0.044443557 2 32
L 0 86 0 0.044444596 3 32
L 0 87 0 0.044805513 17 32
L 0 88 0 0.044808055 0 32
L 0 89 0 0.044810946 1 32
L 0 90 0 0.044811924 2 32
L 0 91 0 0.044813333 3 32
L 0 92 0 0.044904890 18 32
L 0 93 0 0.044907411 0 32
L 0 94 0 0.044909829 1 32
L 0 95 0 0.044910837 2 32
L 0 96 0 0.044916383 3 32
L 0 97 0 0.045006716 19 32
L 0 98 0 0.045008918 0 32
